iter	Passed	Remaining
0	45	4478
1	109	5382
2	145	4694
3	175	4215
4	206	3930
5	236	3709
6	308	4097
7	359	4138
8	411	4160
9	462	4161
10	508	4117
11	580	4256
12	628	4204
13	663	4073
14	692	3924
15	765	4017
16	840	4101
17	974	4440
18	1023	4363
19	1074	4296
20	1107	4167
21	1158	4107
22	1221	4089
23	1358	4302
24	1605	4815
25	1670	4755
26	1718	4647
27	2131	5481
28	2537	6213
29	2684	6263
30	2737	6092
31	3137	6666
32	3186	6470
33	3587	6964
34	3997	7423
35	4132	7346
36	4270	7271
37	4322	7052
38	4725	7390
39	4964	7446
40	5366	7723
41	5771	7970
42	6180	8193
43	6217	7913
44	6249	7638
45	6494	7624
46	6538	7373
47	6943	7521
48	7351	7651
49	7398	7398
50	7810	7504
51	8218	7585
52	8621	7645
53	8853	7542
54	9261	7577
55	9665	7594
56	10077	7602
57	10484	7591
58	10534	7320
59	10934	7289
60	11007	7037
61	11425	7002
62	11836	6951
63	12243	6887
64	12651	6812
65	13059	6727
66	13300	6551
67	13710	6451
68	14122	6345
69	14361	6154
70	14394	5879
71	14467	5626
72	14875	5501
73	15107	5307
74	15505	5168
75	15907	5023
76	16317	4874
77	16726	4717
78	17137	4555
79	17539	4384
80	17941	4208
81	18023	3956
82	18071	3701
83	18473	3518
84	18545	3272
85	18950	3084
86	19351	2891
87	19757	2694
88	20164	2492
89	20569	2285
90	20975	2074
91	21389	1859
92	21796	1640
93	22202	1417
94	22605	1189
95	23009	958
96	23419	724
97	23843	486
98	23915	241
99	24315	0
