iter	Passed	Remaining
0	35	3467
1	67	3284
2	91	2965
3	134	3237
4	161	3064
5	193	3035
6	223	2966
7	253	2916
8	377	3820
9	430	3872
10	522	4224
11	656	4810
12	701	4692
13	734	4509
14	805	4563
15	1039	5456
16	1070	5226
17	1147	5225
18	1180	5030
19	1210	4843
20	1340	5041
21	1373	4868
22	1459	4887
23	1507	4774
24	1908	5726
25	1980	5636
26	2381	6437
27	2460	6328
28	2542	6225
29	2615	6103
30	2742	6105
31	2978	6329
32	3375	6854
33	3454	6705
34	3852	7155
35	4250	7556
36	4282	7291
37	4677	7632
38	5076	7940
39	5477	8216
40	5873	8452
41	6012	8303
42	6089	8071
43	6123	7793
44	6248	7637
45	6277	7369
46	6403	7221
47	6804	7371
48	7203	7497
49	7600	7600
50	7834	7527
51	7963	7350
52	8198	7270
53	8613	7337
54	9014	7375
55	9418	7400
56	9819	7407
57	10220	7400
58	10621	7381
59	11022	7348
60	11152	7130
61	11556	7083
62	11953	7020
63	12364	6954
64	12768	6875
65	13169	6784
66	13244	6523
67	13642	6419
68	14046	6310
69	14282	6121
70	14682	5996
71	15085	5866
72	15486	5727
73	15889	5582
74	16126	5375
75	16367	5168
76	16769	5009
77	17174	4843
78	17577	4672
79	17975	4493
80	18374	4310
81	18775	4121
82	19177	3927
83	19581	3729
84	19981	3526
85	20386	3318
86	20790	3106
87	21189	2889
88	21263	2628
89	21667	2407
90	21802	2156
91	22201	1930
92	22327	1680
93	22730	1450
94	23131	1217
95	23534	980
96	23934	740
97	24339	496
98	24576	248
99	24980	0
