iter	Passed	Remaining
0	32	3173
1	78	3852
2	112	3638
3	144	3478
4	190	3611
5	227	3557
6	262	3483
7	316	3636
8	346	3499
9	471	4241
10	504	4080
11	578	4241
12	611	4095
13	658	4047
14	731	4147
15	3493	18343
16	3630	17726
17	3663	16689
18	3708	15809
19	3738	14954
20	3767	14171
21	3799	13472
22	3875	12976
23	4003	12677
24	6755	20266
25	6885	19597
26	6958	18813
27	7002	18005
28	7395	18105
29	10093	23550
30	10486	23341
31	10718	22776
32	10746	21819
33	13488	26182
34	13883	25784
35	14009	24905
36	16726	28481
37	16798	27408
38	17192	26890
39	19929	29893
40	20322	29244
41	20369	28129
42	20602	27310
43	20833	26515
44	23556	28791
45	23955	28121
46	26656	30058
47	27051	29305
48	27445	28565
49	30162	30162
50	30235	29050
51	30632	28275
52	33327	29554
53	33452	28496
54	33848	27694
55	36565	28730
56	36689	27677
57	36734	26600
58	37126	25800
59	37520	25013
60	40226	25718
61	40623	24898
62	40667	23884
63	40696	22891
64	43384	23361
65	43455	22386
66	43527	21438
67	43919	20668
68	46648	20958
69	46695	20012
70	47089	19233
71	47485	18466
72	50208	18570
73	50603	17779
74	50838	16946
75	53551	16911
76	53946	16113
77	56660	15981
78	57058	15167
79	57451	14362
80	60184	14117
81	60580	13298
82	63302	12965
83	63699	12133
84	64097	11311
85	66831	10879
86	67226	10045
87	69937	9536
88	70332	8692
89	70728	7858
90	70801	7002
91	73538	6394
92	73932	5564
93	76689	4895
94	77085	4057
95	77481	3228
96	80494	2489
97	80899	1651
98	83978	848
99	84399	0
