iter	Passed	Remaining
0	460	91622
1	628	62198
2	802	52719
3	977	47915
4	1157	45125
5	1323	42800
6	1505	41507
7	1683	40394
8	1857	39413
9	2032	38612
10	2209	37957
11	2375	37218
12	2550	36682
13	2720	36140
14	2902	35794
15	3070	35308
16	3256	35059
17	3434	34729
18	3605	34349
19	3775	33980
20	3943	33615
21	4108	33239
22	4274	32897
23	4435	32523
24	4607	32251
25	4776	31964
26	4944	31681
27	5116	31431
28	5293	31211
29	5461	30947
30	5634	30715
31	5809	30500
32	5986	30294
33	6168	30116
34	6339	29888
35	6508	29649
36	6696	29500
37	6862	29257
38	7033	29035
39	7209	28837
40	7390	28660
41	7562	28448
42	7735	28243
43	7909	28043
44	8072	27804
45	8244	27601
46	8423	27419
47	8601	27238
48	8774	27040
49	8940	26820
50	9113	26627
51	9278	26406
52	9442	26189
53	9606	25972
54	9781	25787
55	9953	25594
56	10123	25397
57	10289	25192
58	10460	24997
59	10644	24837
60	10807	24626
61	10965	24406
62	11143	24233
63	11314	24043
64	11486	23856
65	11651	23656
66	11825	23474
67	11997	23289
68	12175	23114
69	12343	22924
70	12525	22758
71	12696	22570
72	12876	22401
73	13043	22209
74	13211	22019
75	13384	21837
76	13565	21670
77	13743	21496
78	13914	21311
79	14078	21117
80	14251	20937
81	14432	20768
82	14611	20596
83	14789	20424
84	14957	20236
85	15139	20068
86	15314	19891
87	15492	19718
88	15668	19542
89	15835	19354
90	16009	19175
91	16186	19001
92	16367	18831
93	16539	18651
94	16706	18465
95	16878	18285
96	17060	18115
97	17220	17923
98	17390	17742
99	17573	17573
100	17735	17383
101	17903	17201
102	18064	17011
103	18231	16829
104	18409	16655
105	18579	16475
106	18755	16301
107	18922	16119
108	19092	15939
109	19274	15769
110	19448	15594
111	19618	15414
112	19794	15240
113	19962	15059
114	20140	14886
115	20323	14716
116	20492	14537
117	20657	14355
118	20816	14169
119	20978	13985
120	21143	13804
121	21311	13625
122	21490	13453
123	21677	13286
124	21856	13114
125	22041	12944
126	22199	12760
127	22365	12580
128	22539	12405
129	22709	12228
130	22868	12045
131	23042	11870
132	23212	11693
133	23369	11510
134	23539	11333
135	23711	11158
136	23878	10980
137	24051	10805
138	24229	10633
139	24397	10456
140	24561	10277
141	24730	10101
142	24907	9928
143	25074	9751
144	25260	9581
145	25444	9411
146	25617	9236
147	25797	9063
148	25975	8890
149	26142	8714
150	26309	8537
151	26484	8363
152	26656	8188
153	26827	8013
154	27004	7839
155	27179	7666
156	27368	7495
157	27535	7319
158	27707	7144
159	27892	6973
160	28048	6794
161	28224	6620
162	28412	6449
163	28594	6276
164	28764	6101
165	28943	5928
166	29099	5750
167	29264	5574
168	29451	5402
169	29623	5227
170	29799	5053
171	29974	4879
172	30144	4704
173	30312	4529
174	30485	4355
175	30650	4179
176	30819	4004
177	30986	3829
178	31152	3654
179	31310	3478
180	31468	3303
181	31631	3128
182	31801	2954
183	31959	2779
184	32127	2604
185	32292	2430
186	32453	2256
187	32625	2082
188	32801	1909
189	32970	1735
190	33131	1561
191	33289	1387
192	33439	1212
193	33594	1038
194	33758	865
195	33915	692
196	34072	518
197	34229	345
198	34384	172
199	34549	0
