iter	Passed	Remaining
0	56	5552
1	83	4107
2	115	3733
3	148	3569
4	177	3367
5	227	3556
6	265	3523
7	300	3454
8	335	3391
9	366	3297
10	765	6190
11	998	7325
12	1034	6922
13	1163	7149
14	1207	6844
15	1607	8440
16	1640	8009
17	2043	9308
18	2450	10447
19	2687	10751
20	3090	11624
21	3165	11222
22	3240	10848
23	3370	10673
24	3609	10828
25	3683	10482
26	3817	10321
27	4223	10860
28	4622	11317
29	4752	11089
30	5156	11477
31	5561	11817
32	5960	12102
33	5989	11626
34	6041	11220
35	6076	10803
36	6492	11054
37	6568	10716
38	6966	10896
39	7370	11056
40	7500	10793
41	7535	10406
42	7581	10049
43	7984	10161
44	8390	10255
45	8626	10127
46	9038	10192
47	9442	10229
48	9678	10074
49	10081	10081
50	10483	10072
51	10888	10051
52	11293	10015
53	11698	9965
54	12100	9900
55	12227	9607
56	12474	9410
57	12712	9205
58	13113	9112
59	13517	9011
60	13920	8899
61	14156	8676
62	14559	8550
63	14965	8417
64	15365	8273
65	15768	8123
66	16010	7885
67	16409	7722
68	16808	7551
69	17212	7376
70	17612	7193
71	18018	7007
72	18417	6811
73	18815	6610
74	19049	6349
75	19448	6141
76	19844	5927
77	20241	5709
78	20639	5486
79	20785	5196
80	21212	4975
81	21660	4754
82	22099	4526
83	22532	4291
84	22971	4053
85	23408	3810
86	23673	3537
87	24130	3290
88	24574	3037
89	26378	2930
90	26777	2648
91	29814	2592
92	30213	2274
93	30616	1954
94	33408	1758
95	33809	1408
96	36545	1130
97	36943	753
98	37343	377
99	40197	0
