iter	Passed	Remaining
0	84	8394
1	130	6397
2	159	5143
3	189	4550
4	216	4117
5	244	3835
6	277	3682
7	355	4087
8	399	4038
9	486	4379
10	562	4551
11	608	4464
12	638	4273
13	711	4371
14	842	4773
15	889	4668
16	924	4511
17	1157	5272
18	1193	5089
19	1266	5064
20	1503	5657
21	1738	6163
22	2137	7157
23	2216	7017
24	2293	6880
25	2694	7668
26	3093	8362
27	3216	8271
28	3344	8187
29	3379	7885
30	3504	7800
31	3909	8307
32	4319	8770
33	4569	8870
34	4976	9241
35	5220	9280
36	5617	9565
37	6021	9824
38	6431	10060
39	6842	10264
40	6921	9960
41	7166	9897
42	7220	9571
43	7632	9713
44	7874	9624
45	8286	9728
46	8696	9806
47	8936	9681
48	9334	9715
49	9567	9567
50	9604	9228
51	9652	8910
52	10057	8918
53	10082	8588
54	10485	8579
55	10617	8342
56	11024	8316
57	11271	8161
58	11315	7863
59	11441	7627
60	11686	7471
61	12094	7412
62	12502	7342
63	12552	7060
64	12967	6982
65	13378	6891
66	13791	6792
67	14205	6685
68	14625	6571
69	14868	6372
70	15271	6237
71	15676	6096
72	16085	5949
73	16322	5734
74	16398	5466
75	16810	5308
76	17213	5141
77	17625	4971
78	18039	4795
79	18455	4613
80	18500	4339
81	18920	4153
82	19336	3960
83	19746	3761
84	20180	3561
85	20590	3351
86	21010	3139
87	21424	2921
88	21834	2698
89	22252	2472
90	22676	2242
91	23092	2008
92	23333	1756
93	23741	1515
94	24162	1271
95	24573	1023
96	24983	772
97	25390	518
98	25798	260
99	25873	0
