iter	Passed	Remaining
0	326	64942
1	506	50188
2	688	45211
3	864	42351
4	1044	40727
5	1224	39583
6	1411	38909
7	1591	38206
8	1775	37688
9	1954	37142
10	2146	36886
11	2337	36617
12	2522	36279
13	2709	36002
14	2895	35710
15	3084	35469
16	3270	35205
17	3465	35043
18	3652	34796
19	3836	34531
20	4028	34337
21	4224	34180
22	4424	34045
23	4596	33711
24	4776	33432
25	4955	33166
26	5138	32927
27	5319	32677
28	5497	32416
29	5682	32202
30	5867	31984
31	6056	31794
32	6260	31683
33	6462	31549
34	6655	31375
35	6846	31191
36	7023	30939
37	7202	30705
38	7382	30476
39	7563	30252
40	7748	30050
41	7933	29844
42	8162	29803
43	8348	29599
44	8528	29375
45	8718	29189
46	8918	29032
47	9109	28846
48	9287	28620
49	9470	28410
50	9650	28196
51	9824	27963
52	10005	27749
53	10181	27527
54	10357	27307
55	10540	27103
56	10721	26897
57	10901	26690
58	11083	26488
59	11265	26285
60	11441	26072
61	11615	25854
62	11794	25649
63	11977	25452
64	12166	25268
65	12358	25090
66	12555	24922
67	12750	24750
68	12947	24580
69	13128	24380
70	13308	24180
71	13489	23981
72	13678	23797
73	13853	23587
74	14032	23388
75	14245	23242
76	14445	23074
77	14648	22912
78	14866	22770
79	15090	22635
80	15287	22459
81	15496	22300
82	15700	22131
83	15896	21952
84	16106	21791
85	16309	21620
86	16513	21449
87	16706	21262
88	16898	21075
89	17093	20892
90	17286	20705
91	17489	20530
92	17679	20340
93	17875	20157
94	18075	19978
95	18283	19807
96	18483	19627
97	18678	19440
98	18881	19263
99	19086	19086
100	19279	18897
101	19484	18720
102	19679	18532
103	19877	18348
104	20067	18156
105	20271	17976
106	20466	17788
107	20677	17614
108	20880	17432
109	21081	17248
110	21287	17068
111	21487	16883
112	21692	16701
113	21875	16502
114	22053	16300
115	22247	16110
116	22424	15908
117	22610	15712
118	22788	15511
119	22971	15314
120	23153	15116
121	23355	14931
122	23537	14735
123	23720	14538
124	23902	14341
125	24082	14143
126	24279	13955
127	24463	13760
128	24648	13566
129	24834	13372
130	25022	13179
131	25249	13007
132	25457	12824
133	25641	12629
134	25826	12435
135	26018	12243
136	26213	12054
137	26404	11863
138	26588	11668
139	26769	11472
140	26946	11275
141	27138	11084
142	27331	10894
143	27536	10708
144	27712	10511
145	27898	10318
146	28091	10128
147	28287	9938
148	28469	9744
149	28647	9549
150	28827	9354
151	29019	9164
152	29212	8973
153	29405	8783
154	29595	8592
155	29786	8401
156	29970	8208
157	30158	8016
158	30345	7824
159	30525	7631
160	30703	7437
161	30888	7245
162	31070	7052
163	31247	6859
164	31435	6668
165	31626	6477
166	31825	6288
167	32024	6099
168	32207	5907
169	32394	5716
170	32615	5531
171	32836	5345
172	33030	5155
173	33226	4964
174	33427	4775
175	33641	4587
176	33852	4398
177	34058	4209
178	34267	4020
179	34467	3829
180	34644	3636
181	34820	3443
182	35006	3251
183	35195	3060
184	35379	2868
185	35560	2676
186	35738	2484
187	35921	2292
188	36102	2101
189	36278	1909
190	36458	1717
191	36638	1526
192	36818	1335
193	36994	1144
194	37179	953
195	37360	762
196	37536	571
197	37720	381
198	37900	190
199	38081	0
