iter	Passed	Remaining
0	71	7042
1	343	16810
2	434	14037
3	499	11982
4	567	10788
5	631	9890
6	741	9848
7	800	9208
8	874	8841
9	936	8432
10	1092	8838
11	1169	8576
12	1234	8264
13	1312	8061
14	1414	8017
15	1867	9802
16	1946	9502
17	2057	9372
18	2168	9245
19	2248	8992
20	2316	8715
21	2394	8489
22	2465	8252
23	2902	9192
24	3334	10002
25	3411	9709
26	3565	9640
27	3719	9564
28	3887	9518
29	4185	9767
30	4273	9512
31	4718	10026
32	4989	10130
33	5171	10039
34	5273	9792
35	5372	9550
36	5807	9888
37	6248	10195
38	6355	9939
39	6511	9767
40	6589	9481
41	7019	9693
42	7183	9521
43	7615	9692
44	7724	9440
45	7998	9388
46	8444	9522
47	8557	9270
48	9007	9375
49	9118	9118
50	9550	9176
51	9987	9219
52	10449	9266
53	10547	8985
54	10990	8991
55	11431	8981
56	11864	8950
57	12297	8905
58	12735	8850
59	13175	8783
60	13277	8488
61	13713	8405
62	13983	8212
63	14256	8019
64	14689	7909
65	15124	7791
66	15573	7670
67	16012	7535
68	16458	7394
69	16890	7238
70	17324	7076
71	17759	6906
72	18197	6730
73	18477	6491
74	18910	6303
75	19334	6105
76	19776	5907
77	20217	5702
78	20650	5489
79	20914	5228
80	21341	5006
81	21768	4778
82	22196	4546
83	22624	4309
84	23048	4067
85	23482	3822
86	23919	3574
87	24353	3320
88	24786	3063
89	25042	2782
90	25466	2518
91	25894	2251
92	26328	1981
93	26769	1708
94	27212	1432
95	27665	1152
96	27821	860
97	28257	576
98	28717	290
99	29166	0
