iter	MultiClass
0	1.706041178
1	1.528384001
2	1.397580354
3	1.288321152
4	1.189933083
5	1.095651498
6	1.019643188
7	0.9594213312
8	0.9042962719
9	0.8482911483
10	0.8032201232
11	0.7605206033
12	0.7228337465
13	0.6894409421
14	0.6557017692
15	0.6243479129
16	0.5978333846
17	0.5745002837
18	0.5526705052
19	0.5299360554
20	0.5143230574
21	0.4960681478
22	0.4806482368
23	0.4622173083
24	0.4481929734
25	0.4364906884
26	0.4243182156
27	0.4105220991
28	0.4011634555
29	0.3888776576
30	0.3789761811
31	0.3665855317
32	0.3559974399
33	0.3509119207
34	0.3447058455
35	0.3386132764
36	0.3309899432
37	0.3264335059
38	0.3201340385
39	0.315811881
40	0.3068715273
41	0.3021630449
42	0.2979506542
43	0.2905786386
44	0.2860956305
45	0.2817505848
46	0.2767461241
47	0.2720551623
48	0.2673737899
49	0.2620546243
50	0.2576616611
51	0.2525468909
52	0.2497778429
53	0.2468485173
54	0.2445243262
55	0.2388625315
56	0.2345192348
57	0.2333417749
58	0.2316445513
59	0.2286706555
60	0.2272551616
61	0.2248078599
62	0.2211199071
63	0.2175055945
64	0.2146371231
65	0.2095786837
66	0.2070538065
67	0.2037056783
68	0.2006477688
69	0.1996385175
70	0.1951596407
71	0.1943831463
72	0.1936881325
73	0.1919877727
74	0.191380497
75	0.1894967603
76	0.1876775719
77	0.1870416935
78	0.183065618
79	0.1804450416
80	0.1785898925
81	0.1744097382
82	0.1726041651
83	0.1688063098
84	0.1670830768
85	0.1654834069
86	0.163003718
87	0.1616936182
88	0.1602796622
89	0.1580725055
90	0.1562094858
91	0.1547456824
92	0.1532751694
93	0.1522945962
94	0.1518096471
95	0.1504310186
96	0.1490898735
97	0.1471532437
98	0.1467645215
99	0.1451132552
100	0.1446579341
101	0.1431423534
102	0.141260803
103	0.1391200492
104	0.1387767566
105	0.1364808968
106	0.1337785382
107	0.132807072
108	0.1302180535
109	0.1283213348
110	0.127533728
111	0.1252830264
112	0.1236083592
113	0.1231625372
114	0.1222885795
115	0.121272317
116	0.1201593829
117	0.1188096359
118	0.1183708251
119	0.1164767601
120	0.1152925831
121	0.1138944814
122	0.1125371579
123	0.1115957871
124	0.1101618379
125	0.1085267048
126	0.1070727548
127	0.1062463527
128	0.1049325362
129	0.1044627329
130	0.1037094961
131	0.1024443434
132	0.1006075139
133	0.09992395936
134	0.09868608256
135	0.09847964411
136	0.09739981338
137	0.09637160169
138	0.09535695253
139	0.09428542216
140	0.09294464654
141	0.09164355583
142	0.09083779527
143	0.08961951214
144	0.08907653598
145	0.0882057974
146	0.08734765637
147	0.08620131723
148	0.08564844245
149	0.08477507278
150	0.08459230657
151	0.08371646414
152	0.0834962973
153	0.08315771653
154	0.08189716264
155	0.08093094355
156	0.07983971396
157	0.07960214728
158	0.07911018703
159	0.07898307318
160	0.07841257992
161	0.0781067558
162	0.07764431799
163	0.07668498194
164	0.07608600662
165	0.07591643352
166	0.07512917349
167	0.07418090458
168	0.07342790144
169	0.0730196836
170	0.07225787498
171	0.07183359923
172	0.07098984247
173	0.07039759941
174	0.06960491135
175	0.06905461489
176	0.06892585001
177	0.06839179993
178	0.0674703696
179	0.06712330754
180	0.06649095739
181	0.06639880154
182	0.0662111501
183	0.06557340961
184	0.06505724941
185	0.0649833453
186	0.06437882133
187	0.06404778703
188	0.06341486392
189	0.06299320417
190	0.06263792468
191	0.06210557086
192	0.0617272524
193	0.06118215026
194	0.06047626541
195	0.05990366125
196	0.05952865993
197	0.05939193017
198	0.05862899826
199	0.05794492352
