iter	Passed	Remaining
0	537	107045
1	801	79322
2	1088	71469
3	1358	66581
4	1622	63270
5	1884	60925
6	2164	59681
7	2441	58598
8	2721	57765
9	3002	57054
10	3302	56749
11	3580	56101
12	3858	55508
13	4151	55161
14	4435	54703
15	4709	54155
16	4988	53701
17	5278	53368
18	5571	53079
19	5846	52616
20	6114	52121
21	6397	51760
22	6675	51376
23	6955	51003
24	7248	50742
25	7535	50431
26	7828	50163
27	8114	49848
28	8397	49518
29	8671	49140
30	8959	48843
31	9248	48552
32	9547	48318
33	9824	47966
34	10083	47535
35	10338	47098
36	10600	46700
37	10855	46277
38	11119	45903
39	11385	45540
40	11643	45155
41	11916	44828
42	12163	44411
43	12431	44074
44	12705	43764
45	12966	43408
46	13227	43059
47	13512	42789
48	13786	42484
49	14054	42162
50	14309	41806
51	14583	41505
52	14837	41151
53	15103	40834
54	15373	40529
55	15667	40286
56	15932	39971
57	16197	39654
58	16451	39316
59	16733	39044
60	16984	38703
61	17235	38363
62	17525	38110
63	17786	37797
64	18067	37524
65	18342	37240
66	18607	36938
67	18865	36620
68	19141	36340
69	19396	36022
70	19684	35764
71	19944	35456
72	20205	35151
73	20486	34882
74	20744	34573
75	21048	34342
76	21325	34065
77	21580	33754
78	21877	33508
79	22164	33246
80	22449	32980
81	22731	32710
82	23011	32438
83	23274	32140
84	23539	31848
85	23787	31531
86	24032	31214
87	24280	30902
88	24532	30596
89	24807	30320
90	25049	30004
91	25289	29687
92	25568	29416
93	25819	29115
94	26069	28813
95	26306	28498
96	26557	28200
97	26854	27951
98	27124	27672
99	27403	27403
100	27651	27104
101	27936	26841
102	28213	26569
103	28490	26298
104	28759	26020
105	29047	25759
106	29333	25495
107	29618	25230
108	29891	24955
109	30142	24662
110	30414	24386
111	30704	24124
112	30976	23848
113	31225	23556
114	31487	23273
115	31761	23000
116	32018	22713
117	32274	22427
118	32527	22140
119	32812	21874
120	33083	21600
121	33358	21327
122	33643	21061
123	33946	20806
124	34212	20527
125	34463	20240
126	34757	19978
127	35025	19701
128	35302	19430
129	35556	19145
130	35819	18867
131	36070	18581
132	36326	18299
133	36594	18023
134	36875	17754
135	37126	17471
136	37380	17189
137	37663	16921
138	37946	16652
139	38203	16373
140	38483	16103
141	38760	15831
142	39022	15554
143	39295	15281
144	39560	15005
145	39833	14732
146	40093	14455
147	40364	14182
148	40640	13910
149	40904	13634
150	41161	13357
151	41431	13083
152	41696	12808
153	41942	12528
154	42199	12251
155	42464	11977
156	42709	11697
157	42981	11425
158	43254	11153
159	43514	10878
160	43788	10607
161	44052	10333
162	44308	10057
163	44567	9783
164	44839	9511
165	45102	9237
166	45394	8970
167	45666	8698
168	45937	8426
169	46219	8156
170	46471	7881
171	46737	7608
172	47022	7338
173	47272	7063
174	47535	6790
175	47815	6520
176	48100	6250
177	48352	5976
178	48638	5706
179	48884	5431
180	49160	5160
181	49417	4887
182	49665	4613
183	49918	4340
184	50189	4069
185	50448	3797
186	50725	3526
187	50987	3254
188	51249	2982
189	51499	2710
190	51743	2438
191	52041	2168
192	52319	1897
193	52598	1626
194	52893	1356
195	53193	1085
196	53465	814
197	53741	542
198	54043	271
199	54321	0
