iter	Passed	Remaining
0	206	41162
1	414	41008
2	627	41191
3	847	41547
4	3466	135178
5	3639	117667
6	3811	105081
7	3983	95607
8	4158	88258
9	4334	82346
10	6888	118352
11	7091	111103
12	7292	104900
13	7498	99625
14	7690	94850
15	10205	117367
16	10389	111838
17	10567	106853
18	10738	102301
19	10918	98268
20	11101	94629
21	13578	109864
22	13763	105918
23	13951	102313
24	14139	98976
25	14330	95901
26	16868	108085
27	17043	104697
28	17236	101635
29	17426	98750
30	17613	96023
31	17800	93453
32	20333	102898
33	20525	100210
34	20702	97598
35	20882	95130
36	21063	92794
37	23595	100592
38	23788	98203
39	23974	95898
40	24159	93693
41	24340	91566
42	24516	89512
43	26996	95716
44	27177	93611
45	27359	91593
46	27551	89687
47	27739	87841
48	30240	93189
49	30422	91268
50	30611	89432
51	30791	87638
52	30973	85907
53	31154	84231
54	33644	88698
55	33823	86973
56	34003	85307
57	34182	83689
58	34366	82130
59	36860	86008
60	37035	84392
61	37209	82821
62	37385	81299
63	37579	79856
64	37760	78426
65	40274	81770
66	40460	80316
67	40637	78884
68	40817	77494
69	40997	76138
70	41171	74805
71	43668	77632
72	43853	76293
73	44037	74982
74	44217	73695
75	44399	72441
76	46882	74890
77	47064	73613
78	47248	72368
79	47430	71145
80	47616	69954
81	47796	68780
82	50296	70900
83	50477	69707
84	50660	68540
85	50843	67397
86	51023	66271
87	53525	68123
88	53704	66979
89	53889	65865
90	54071	64766
91	54253	63688
92	54442	62638
93	56950	64220
94	57126	63140
95	57305	62080
96	57486	61042
97	57674	60028
98	60177	61393
99	60360	60360
100	60548	59349
101	60737	58355
102	60918	57369
103	61099	56399
104	63600	57543
105	63785	56564
106	63976	55605
107	64159	54654
108	64347	53721
109	64524	52792
110	67013	53731
111	67200	52800
112	67389	51883
113	67582	50983
114	67774	50093
115	70295	50903
116	70474	49994
117	70661	49103
118	70837	48217
119	71017	47344
120	71198	46484
121	73730	47139
122	73913	46271
123	74098	45415
124	74291	44574
125	74479	43741
126	76974	44245
127	77156	43400
128	77340	42567
129	77522	41742
130	77717	40935
131	77900	40130
132	80635	40620
133	80885	39838
134	81129	39062
135	81377	38295
136	84290	38761
137	84583	38001
138	84930	37271
139	87835	37643
140	88060	36847
141	88308	36069
142	88551	35296
143	88784	34527
144	91621	34752
145	91864	33977
146	92101	33206
147	92360	32450
148	95280	32612
149	95523	31841
150	95787	31083
151	96038	30327
152	98860	30368
153	99102	29601
154	99376	28851
155	99641	28103
156	102528	28080
157	102810	27329
158	103062	26575
159	105909	26477
160	106150	25713
161	106409	24960
162	106647	24208
163	106904	23466
164	109785	23287
165	110082	22546
166	110339	21803
167	113213	21564
168	113483	20816
169	113727	20069
170	113967	19327
171	116827	19018
172	117080	18272
173	117320	17530
174	117566	16795
175	120412	16419
176	120668	15680
177	120933	14946
178	121191	14218
179	124042	13782
180	124274	13045
181	124507	12313
182	124747	11588
183	124993	10869
184	127831	10364
185	128086	9640
186	128335	8921
187	128599	8208
188	131441	7650
189	131680	6930
190	131910	6215
191	132168	5507
192	134953	4894
193	135210	4181
194	135448	3473
195	135709	2769
196	138552	2109
197	138796	1401
198	139044	698
199	139286	0
