iter	Passed	Remaining
0	392	78188
1	647	64089
2	890	58503
3	1144	56087
4	1377	53726
5	1623	52500
6	1863	51378
7	2109	50633
8	2340	49664
9	2632	50024
10	2878	49465
11	3103	48617
12	3349	48183
13	3599	47821
14	3858	47590
15	4087	47007
16	4357	46907
17	4594	46455
18	4841	46117
19	5095	45856
20	5309	45259
21	5498	44484
22	5681	43721
23	5859	42972
24	6048	42338
25	6237	41745
26	6423	41157
27	6603	40562
28	6786	40016
29	6973	39515
30	7159	39029
31	7341	38540
32	7531	38112
33	7710	37647
34	7887	37184
35	8066	36748
36	8246	36328
37	8420	35899
38	8604	35522
39	8783	35133
40	8963	34759
41	9143	34397
42	9319	34025
43	9495	33665
44	9677	33334
45	9857	33002
46	10040	32686
47	10223	32375
48	10399	32047
49	10577	31733
50	10753	31417
51	10933	31119
52	11113	30823
53	11287	30518
54	11468	30233
55	11652	29962
56	11827	29672
57	12007	29397
58	12183	29116
59	12365	28852
60	12544	28585
61	12722	28316
62	12898	28049
63	13077	27789
64	13256	27532
65	13434	27276
66	13615	27028
67	13798	26785
68	13975	26533
69	14161	26300
70	14354	26080
71	14549	25865
72	14745	25652
73	14936	25432
74	15141	25236
75	15330	25012
76	15521	24794
77	15700	24557
78	15891	24340
79	16074	24111
80	16259	23887
81	16441	23659
82	16622	23431
83	16807	23210
84	16992	22989
85	17180	22773
86	17363	22552
87	17539	22322
88	17718	22098
89	17893	21870
90	18069	21643
91	18255	21430
92	18430	21205
93	18610	20986
94	18812	20792
95	18997	20580
96	19175	20361
97	19354	20144
98	19532	19927
99	19710	19710
100	19893	19499
101	20084	19296
102	20275	19094
103	20458	18885
104	20639	18673
105	20814	18458
106	21002	18254
107	21182	18044
108	21367	17838
109	21545	17628
110	21720	17415
111	21898	17205
112	22078	16998
113	22256	16789
114	22438	16584
115	22629	16387
116	22814	16184
117	23003	15985
118	23189	15784
119	23375	15583
120	23560	15382
121	23743	15180
122	23926	14978
123	24110	14777
124	24295	14577
125	24484	14379
126	24671	14181
127	24854	13980
128	25030	13776
129	25209	13574
130	25385	13370
131	25564	13169
132	25743	12968
133	25923	12768
134	26108	12570
135	26289	12371
136	26466	12170
137	26644	11970
138	26824	11772
139	27011	11576
140	27195	11379
141	27378	11182
142	27564	10987
143	27749	10791
144	27965	10607
145	28229	10440
146	28421	10247
147	28629	10059
148	28830	9868
149	29033	9677
150	29262	9495
151	29482	9310
152	29680	9117
153	29897	8930
154	30119	8744
155	30334	8555
156	30529	8361
157	30746	8173
158	30931	7976
159	31138	7784
160	31326	7588
161	31501	7389
162	31683	7192
163	31871	6996
164	32077	6804
165	32270	6609
166	32451	6412
167	32632	6215
168	32821	6020
169	33029	5828
170	33245	5638
171	33441	5444
172	33654	5252
173	33894	5064
174	34110	4872
175	34299	4677
176	34530	4487
177	34744	4294
178	34930	4098
179	35109	3901
180	35321	3707
181	35527	3513
182	35709	3317
183	35887	3120
184	36093	2926
185	36292	2731
186	36497	2537
187	36717	2343
188	36946	2150
189	37183	1957
190	37416	1763
191	37628	1567
192	37808	1371
193	38030	1176
194	38248	980
195	38465	785
196	38657	588
197	38865	392
198	39093	196
199	39309	0
