iter	Passed	Remaining
0	45	4488
1	78	3828
2	105	3408
3	135	3262
4	163	3111
5	195	3057
6	225	3002
7	265	3050
8	299	3030
9	336	3024
10	385	3116
11	517	3791
12	591	3955
13	672	4133
14	803	4553
15	928	4872
16	979	4784
17	1053	4800
18	1453	6196
19	1483	5934
20	1527	5745
21	1658	5878
22	1735	5809
23	1973	6250
24	2211	6635
25	2253	6414
26	2329	6297
27	2365	6082
28	2491	6100
29	2725	6360
30	3127	6961
31	3525	7492
32	3562	7233
33	3805	7386
34	3937	7311
35	4340	7716
36	4416	7519
37	4817	7859
38	5217	8161
39	5299	7949
40	5704	8209
41	6108	8436
42	6512	8632
43	6747	8588
44	6981	8533
45	7381	8664
46	7515	8474
47	7918	8578
48	8325	8665
49	8726	8726
50	8854	8507
51	9257	8545
52	9659	8565
53	10059	8569
54	10458	8557
55	10870	8541
56	11000	8298
57	11237	8137
58	11638	8087
59	12039	8026
60	12278	7850
61	12681	7772
62	13095	7690
63	13227	7440
64	13636	7342
65	14039	7232
66	14443	7113
67	14681	6908
68	15085	6777
69	15494	6640
70	15906	6497
71	16313	6344
72	16715	6182
73	16796	5901
74	17037	5679
75	17072	5391
76	17478	5220
77	17878	5042
78	17913	4761
79	18314	4578
80	18717	4390
81	19121	4197
82	19523	3998
83	19923	3794
84	20335	3588
85	20750	3377
86	21171	3163
87	21582	2943
88	21988	2717
89	22399	2488
90	22804	2255
91	23214	2018
92	23623	1778
93	24026	1533
94	24432	1285
95	24848	1035
96	25268	781
97	25672	523
98	26079	263
99	26490	0
