iter	Passed	Remaining
0	109	10869
1	205	10065
2	276	8956
3	367	8823
4	437	8307
5	498	7814
6	579	7699
7	727	8363
8	862	8720
9	957	8621
10	1015	8219
11	1091	8002
12	1549	10372
13	1664	10223
14	2092	11854
15	2269	11916
16	2397	11703
17	2485	11324
18	2570	10957
19	2680	10720
20	2776	10445
21	2895	10264
22	3060	10245
23	3147	9965
24	3252	9758
25	3407	9698
26	3539	9570
27	3716	9557
28	3990	9770
29	4295	10022
30	4430	9860
31	4867	10344
32	5142	10441
33	5584	10840
34	5865	10893
35	6147	10928
36	6601	11240
37	6768	11043
38	7231	11310
39	7693	11539
40	7767	11178
41	7879	10880
42	8147	10800
43	8592	10936
44	9049	11061
45	9493	11144
46	9946	11216
47	10391	11257
48	10487	10915
49	10936	10936
50	11411	10964
51	11868	10955
52	12320	10925
53	12607	10739
54	13065	10689
55	13522	10625
56	13630	10282
57	13901	10066
58	14018	9741
59	14291	9527
60	14729	9417
61	15160	9292
62	15231	8945
63	15666	8812
64	16106	8672
65	16286	8390
66	16735	8242
67	17197	8093
68	17635	7923
69	18113	7762
70	18573	7586
71	19029	7400
72	19482	7205
73	19760	6942
74	20223	6741
75	20392	6439
76	20864	6232
77	21336	6017
78	21750	5781
79	22150	5537
80	22278	5225
81	22681	4978
82	23083	4727
83	23482	4472
84	23878	4213
85	24298	3955
86	24697	3690
87	25096	3422
88	25498	3151
89	25899	2877
90	26301	2601
91	26705	2322
92	27102	2039
93	27498	1755
94	27894	1468
95	28033	1168
96	28432	879
97	28833	588
98	29230	295
99	29625	0
