iter	Passed	Remaining
0	71	7059
1	108	5299
2	138	4469
3	184	4438
4	215	4093
5	247	3873
6	277	3680
7	324	3728
8	398	4030
9	432	3891
10	466	3773
11	543	3989
12	582	3896
13	711	4371
14	758	4295
15	803	4216
16	834	4074
17	863	3935
18	1269	5413
19	1309	5239
20	1548	5826
21	1630	5779
22	1665	5575
23	1790	5668
24	1918	5754
25	2001	5695
26	2404	6501
27	2816	7242
28	2944	7209
29	3363	7847
30	3448	7676
31	3689	7839
32	3821	7758
33	4246	8243
34	4320	8024
35	4724	8399
36	4852	8261
37	5258	8579
38	5669	8867
39	5702	8554
40	5940	8548
41	6346	8764
42	6593	8740
43	6725	8559
44	7141	8728
45	7230	8487
46	7484	8440
47	7563	8194
48	7971	8296
49	8004	8004
50	8240	7917
51	8640	7976
52	9044	8020
53	9463	8061
54	9617	7868
55	9704	7624
56	10106	7624
57	10235	7412
58	10634	7390
59	11033	7355
60	11164	7138
61	11237	6887
62	11476	6740
63	11602	6526
64	12004	6464
65	12411	6393
66	12646	6228
67	13057	6144
68	13483	6057
69	13564	5813
70	13966	5704
71	14373	5589
72	14793	5471
73	15204	5342
74	15612	5204
75	15707	4960
76	16130	4818
77	16556	4669
78	16966	4509
79	17371	4342
80	17622	4133
81	18038	3959
82	18456	3780
83	18869	3594
84	19291	3404
85	19426	3162
86	19671	2939
87	20076	2737
88	20475	2530
89	20882	2320
90	21283	2104
91	21702	1887
92	22105	1663
93	22229	1418
94	22628	1190
95	23035	959
96	23440	724
97	23842	486
98	24104	243
99	24504	0
